;brand_with_ref_no;count
0;Rolex__218239;2035
1;Rolex__218235;2035
2;Rolex__326938;684
3;Rolex__326935;678
4;Patek Philippe__5496P-014;632
5;Cartier__2914;445
6;Patek Philippe__5960P-015;316
7;Patek Philippe__5146-1G;316
8;Patek Philippe__5135J;316
9;Patek Philippe__5130r;316
10;Patek Philippe__5980R-001;316
11;Patek Philippe__5270G-001;316
12;Patek Philippe__4700/055;316
13;Patek Philippe__5270R-001;316
14;Patek Philippe__5059;316
15;Patek Philippe__5712R-001;316
16;Patek Philippe__5980-1R-001;316
17;Patek Philippe__5140J;316
18;IWC__IW524205;305
19;Hublot__701.0X.0180.RX;298
20;Hublot__704.QQ.1138.GR;298
21;Audemars Piguet__25940OK.OO.D002CA.01.A;262
22;Audemars Piguet__25721BA.OO.1000BA.02.A;262
23;Audemars Piguet__26170OR.OO.1000OR.01;262
24;Audemars Piguet__26195ST.00.D101CR.01;262
25;Audemars Piguet__26069PT.OO.D028CR.01;262
26;Audemars Piguet__26401R0.00.A002CA.01;262
27;Audemars Piguet__26470OR.OO.1000OR.01;262
28;Audemars Piguet__15400ST.OO.1220ST.02;262
29;Panerai__PAM00148;256
30;Panerai__PAM00382;256
31;Jaeger-LeCoultre__Q5011410;229
32;Jaeger-LeCoultre__Q501T450;229
33;Chopard__17/1868-402;165
34;Chopard__13-7126-20;165
35;Chopard__8/3243-23;165
36;Chopard__139107-1001;165
37;Zenith__18.2050.4035/01.C713;161
38;Zenith__45.2430.4035/79.C714;161
39;Zenith__87.2430.4035/21.C721;161
40;Zenith__18.1260.4005/7;161
41;Ulysse Nardin__6116-130;131
42;Ulysse Nardin__2056-131;131
43;Ulysse Nardin__329-00-3;131
44;Breguet__7047PT;122
45;Breguet__5327BA/1E/9V6;122
46;Breguet__5717br/eu/9zu;122
47;Breguet__5101/54 type 20;122
48;Breguet__HORA MUNDI;122
49;Breguet__3577BB/15/9V6;122
50;Breguet__5377PT/12/9WU;122
51;Breguet__3450;122
52;Bulgari__SP35C6GDG.2T;118
53;Bulgari__AAW31WGD2GD2;118
54;Vacheron Constantin__86122/000r-9286;88
55;Vacheron Constantin__47212/000P-9250;88
56;Vacheron Constantin__25510/000G-9160;88
57;Vacheron Constantin__5000H/000A;88
58;Blancpain__4286P-3642A-55;69
59;Bell & Ross__BR01SKULL415;68
60;A. Lange & Șhne__310.025FE;66
61;A. Lange & Șhne__402.026;66
62;A. Lange & Șhne__116.032;66
63;A. Lange & Șhne__116.039;66
64;A. Lange & Șhne__320.021;66
65;A. Lange & Șhne__140.029;66
66;A. Lange & Șhne__310.026E;66
67;A. Lange & Șhne__139.025;66
68;A. Lange & Șhne__404.035;66
69;A. Lange & Șhne__310.026;66
70;A. Lange & Șhne__310.025;66
71;A. Lange & Șhne__310.021;66
72;A. Lange & Șhne__410.025;66
73;A. Lange & Șhne__117.032;66
74;A. Lange & Șhne__116.021;66
75;A. Lange & Șhne__760.032F;66
76;Girard Perregaux__99193-52-002-BA6A;63
77;Montblanc__104865;63
78;Corum__313.150.55/0001 FN02;61
79;Richard Mille__RM 011;51
80;Graham__2TWAO.B01A;50
81;Glash�_tte Original__95-01-31-24-04;48
82;Glash�_tte Original__41.03.04.04.04;48
83;Glash�_tte Original__93-01-03-03-04;48
84;Glash�_tte Original__41-03-06-34-04;48
85;Richard Mille__RM016;46
86;Richard Mille__RM011;46
87;Chanel__H3155;45
88;Harry Winston__400-MATTZ45RL-WA;34
89;Herm̬s__AR8.965;33
90;Carl F. Bucherer__423-1TREEE;26
91;Carl F. Bucherer__00.10620.21.93.01;26
92;Carl F. Bucherer__00.10620.22.93.01;26
93;Carl F. Bucherer__00.10906.03.13.01;26
94;Roger Dubuis__RDDBEX0283;24
95;Roger Dubuis__DBEX0392;24
96;Richard Mille__RM35-02;23
97;Richard Mille__RM010;23
98;Richard Mille__RM60-01;23
99;Richard Mille__RM07-010-MED;23
100;Richard Mille__RM28;23
101;Richard Mille__RM25;23
102;Richard Mille__RM 011 02;23
103;Richard Mille__RM 035 Limited 1 Of 50;23
104;Richard Mille__RM011-01 AM/Ti;23
105;Richard Mille__RM011-FM AK Ti;23
106;Richard Mille__RM16;23
107;Richard Mille__RM11-02;23
108;Richard Mille__RM011 AO CA;23
109;Richard Mille__RM 002;23
110;Richard Mille__RM50-02 ACJ;23
111;Richard Mille__RM028-AJTI;23
112;Richard Mille__RM016AHTI;23
113;Richard Mille__RM 030;23
114;Richard Mille__RM61-01;23
115;Perrelet__A5005.2;19
116;Richard Mille__RM011-01;18
117;Arnold & Son__1SJAR.V01A.C112A;18
118;Arnold & Son__1T1AW.S01A.C01B;18
119;Harry Winston__400/45RL.WA;17
120;Zeno-Watch Basel__6791TT-f2;17
121;Harry Winston__HCOMTT47RR001;17
122;Harry Winston__331/UQWL.MD.D3.1;17
123;Harry Winston__400-MATTZ45ZC-A;17
124;Harry Winston__PRNQHM36WW002;17
125;Harry Winston__200/MAPC41WL;17
126;Harry Winston__400/MATZ44ZKC.K2;17
127;Harry Winston__400-MCRA44R;17
128;Jaquet-Droz__J028034201;16
129;Heuer__1133B;16
130;Heuer__2446;16
131;Romain Jerome__RJ.T.CH.SP.003.04;12
132;F.P.Journe__AL;12
133;Parmigiani Fleurier__PFH775-1005401-HA3131;10
134;Parmigiani Fleurier__PFHI59-2002800-HA1441;10
135;B.R.M__TR1-52;10
136;B.R.M__0110-H-03;10
137;Arnold & Son__1QPAR.S07A.C20BD;9
138;Arnold & Son__1SJAP.B01A.C113A;9
139;Arnold & Son__1UTAR.M01A;9
140;Arnold & Son__1DSAP.W01A.C120A-014;9
141;Arnold & Son__IQPAX01/25;9
142;Arnold & Son__1SJARV01A;9
143;Cvstos__Tourbillon Yachting Club RG;8
144;Cvstos__No.040.;8
145;Chaumet__W16880-23P;7
146;De Bethune__DB25RS1;6
147;F.P.Journe__CT PT A;6
148;HYT__148-DL-21-GF-RU;6
149;Urwerk__103.03;6
