;brand_with_ref_no;count
0;Rolex__18238;4070
1;Rolex__118239;2035
2;Rolex__116718BKSO;2035
3;Rolex__228235;673
4;Patek Philippe__7118/1A-001;632
5;Cartier__CRWE1001R8;445
6;Cartier__WA5072W9;445
7;Cartier__W6206001;445
8;Patek Philippe__6000G-012;316
9;Patek Philippe__5035-R;316
10;Patek Philippe__5036J;316
11;Patek Philippe__5153J-001;316
12;IWC__25164;305
13;IWC__IW503401;305
14;IWC__376203;305
15;IWC__IW502307;305
16;IWC__IW376203;305
17;IWC__IW3878-05;305
18;Hublot__565.NX.9010.LR.1704;298
19;Hublot__541.OX.1180.LR.1104;298
20;Hublot__511.NX.9010.LR.1704;298
21;Hublot__401.CX.1123.VR;298
22;Hublot__Limited Edition;298
23;Hublot__701.CO.0180.RX;298
24;Hublot__716.OX.1129.HR.FLM12;298
25;Hublot__401.QX.0123.VR;298
26;Hublot__341.px.130.rx.114;298
27;Audemars Piguet__77247OR.ZZ.A812CR.01;262
28;Audemars Piguet__26331ST.OO.1220ST.01;262
29;Audemars Piguet__67465BC.ZZ.1189BC.03;262
30;Audemars Piguet__26320OR.00.D002CR.01;262
31;Audemars Piguet__67652OR.ZZ.D011CR.01;262
32;Audemars Piguet__15400OR.OO.D088CR.01;262
33;Audemars Piguet__15300BA.OO.D088CR.01;262
34;Audemars Piguet__15300OR.OO.D088CR.02;262
35;Audemars Piguet__15300OR.OO.D088CR.01;262
36;Audemars Piguet__15400OR.OO.D002CR.01;262
37;Audemars Piguet__26703ST.OO.A070CA.01;262
38;Panerai__PAM 726;256
39;Panerai__PAM 273;256
40;Panerai__PAM 786/ PAM 649 PAM 650;256
41;Panerai__PAM 00382;256
42;Jaeger-LeCoultre__E2643;229
43;Jaeger-LeCoultre__149.8.95;229
44;Longines__24557;206
45;Chopard__361224-9001;165
46;Chopard__20/7450 20W;165
47;Chopard__137228-1001;165
48;Zenith__18.0520.4046/02 C682;161
49;Ulysse Nardin__670-85;131
50;Ulysse Nardin__355-66;131
51;Ulysse Nardin__326-90/69;131
52;Ulysse Nardin__1506-150;131
53;Breguet__5827BR/Z2/5ZU;122
54;Breguet__5707BA/12/9V6;122
55;Breguet__5247BB/12/9V6;122
56;Corum__022.702.04/0F81;122
57;Breguet__7787BR129V6;122
58;Breguet__8908BB/52/864 D00D;122
59;Breguet__5827BA125ZU;122
60;Breguet__8918BB/58/864;122
61;Bulgari__SPP35BGDG.2T;118
62;Bulgari__SPW35D2GDG1T;118
63;Oris__110.7700.6081.LS;107
64;Glash�_tte Original__100-02-25-05-05;96
65;Glash�_tte Original__58-01-01-01-04;96
66;Vacheron Constantin__82035/000J-9964;88
67;Vacheron Constantin__47400/000r-9101;88
68;Vacheron Constantin__47040/000R-9666;88
69;Vacheron Constantin__47101;88
70;Vacheron Constantin__47300/000G;88
71;Vacheron Constantin__86050/000D-09800;88
72;Blancpain__5581;69
73;Blancpain__5085F-3634-63;69
74;Blancpain__2041A-1130MN;69
75;Blancpain__6640-3642-55B;69
76;A. Lange & Șhne__320.032;66
77;A. Lange & Șhne__385.026;66
78;A. Lange & Șhne__117.028;66
79;A. Lange & Șhne__101.021;66
80;A. Lange & Șhne__232.032;66
81;A. Lange & Șhne__223.021;66
82;A. Lange & Șhne__101.035;66
83;A. Lange & Șhne__101.032;66
84;A. Lange & Șhne__115.031;66
85;A. Lange & Șhne__384.026;66
86;Girard Perregaux__9931;63
87;Girard Perregaux__49538-52-131-BK6A;63
88;Girard Perregaux__9930;63
89;Montblanc__106486;63
90;Corum__AQG-Y-66-915-CN-BD;61
91;Corum__2163054;61
92;Corum__022.700.04/0F01.0000;61
93;Corum__022.700.04/0F01;61
94;Corum__138.182.69;61
95;Franck Muller__6000K SC DTNR D CD 1RK;54
96;Franck Muller__6850 CC QPB;54
97;Movado__Number 88 of 100;54
98;Franck Muller__10000H SC;54
99;Piaget__26100;52
100;Piaget__G0A40109;52
101;Piaget__1014.1;52
102;Piaget__G0A39138;52
103;Glash�_tte Original__95-01-31-24-04;48
104;Glash�_tte Original__W10002220505;48
105;Chronoswiss__CH1640;48
106;Glash�_tte Original__100-02-22-05-05;48
107;Glash�_tte Original__W16103251504;48
108;Glash�_tte Original__60-01-03-03-06;48
109;Chanel__H3155;45
110;Chanel__H1339;45
111;Harry Winston__411/MCA44ZC.K2;34
112;Herm̬s__DR2.770;33
113;Herm̬s__DR4.770;33
114;Herm̬s__AR8.870;33
115;Herm̬s__W026191WW00;33
116;Carl F. Bucherer__10623.03.33.01;26
117;Graham__2TWTB.B03A;25
118;Graham__2TSAB.B02A.;25
119;Chronoswiss__CH-1641R;24
120;Roger Dubuis__SED46-78-C9.N-CPG9.13R;24
121;Roger Dubuis__RDDBEX0092;24
122;Roger Dubuis__S3757725;24
123;Roger Dubuis__Roger Dubuis DBSE0217;24
124;Roger Dubuis__G43 1447 5 N126A.7ADT;24
125;Chronoswiss__CH1641RDMP;24
126;Roger Dubuis__EX45-1448-9-3-7aTT28;24
127;Roger Dubuis__RDDBPU0005;24
128;Perrelet__A3037-1;19
129;Perrelet__A3023/1;19
130;Meistersinger__ED-HEN16-G;18
131;Arnold & Son__1DSAP.W01A.C120P;18
132;U-Boat__U-7750;18
133;Harry Winston__TTMQHM33WW019;17
134;Harry Winston__410/MCA44RZC.A;17
135;Harry Winston__400-MCRA44R;17
136;Harry Winston__400-MATZ44ZK;17
137;Harry Winston__200UCQ32W;17
138;Harry Winston__331/UQW;17
139;Harry Winston__OCEACT44RR001;17
140;Harry Winston__MIDQMP39WW004;17
141;Jaquet-Droz__Serial # 1/8;16
142;Heuer__1133B;16
143;Jaquet-Droz__J005034218;16
144;Jaquet-Droz__J005014203;16
145;Jaquet-Droz__J029033401;16
146;Bedat & Co__778.056.109;15
147;Bedat & Co__324.550.000;15
148;Vulcain__Limited Plane Edition 25 Pcs;12
149;Romain Jerome__MB.F2.22BB.11;12
