;brand_with_ref_no;count
77;Bell & Ross__BRV126-FLY-GMT/SCA;136
78;Ulysse Nardin__133-91;131
79;Ulysse Nardin__223-22;131
80;Ulysse Nardin__263-33-3-95;131
81;Ulysse Nardin__7031;131
82;Ulysse Nardin__263-33-3;131
83;Ulysse Nardin__263-90-3/91;131
84;Bulgari__DP42SCH;118
85;Bulgari__BB38GLCH;118
86;Bulgari__CH35G;118
87;Bulgari__BB 30 GSD;118
88;Bulgari__101870;118
89;Bulgari__100742 WBB33;118
90;Bulgari__102043;118
91;Bulgari__GMT40S;118
92;Breitling__A13370;115
93;Maurice Lacroix__MP6178-SS001-12E;114
94;Maurice Lacroix__MP7268-SS001-110;114
95;Maurice Lacroix__16870;114
96;Maurice Lacroix__MP7218-SS001-310;114
97;Maurice Lacroix__MP6388;114
98;Maurice Lacroix__MP7068-SS001-191;114
99;Maurice Lacroix__MP7098-SS001-120;114
100;Franck Muller__2852;108
101;Oris__90876074051MB;107
102;Oris__01 111 770 4063-Set 1 23 72 FC;107
103;Oris__01 396 7580 6051-Set;107
104;Baume & Mercier__MOA08084;102
105;Baume & Mercier__n/a;102
106;Baume & Mercier__97251/9;102
107;Tudor__79620N;99
108;Tudor__70330;99
109;Tudor__25610TNL;99
110;Tudor__42000CN-ALCANTARA;99
111;Tudor__25600TB;99
112;Tudor__42000CR;99
113;Tudor__20550N;99
114;Tudor__42010N-RUBBER-RED;99
115;Tudor__T55020A;99
116;Tudor__42010N;99
117;Tudor__70330N;99
118;Tudor__70330B;99
119;Seiko__SBGJ019;94
120;Seiko__SBGJ017G;94
121;Seiko__STGF079;94
122;Seiko__SBGH005;94
123;Seiko__SBGH001;94
124;Seiko__SGBE005;94
125;Vacheron Constantin__163126;88
126;Vacheron Constantin__16514/967M-7;88
127;Blancpain__6553-1418-58;69
128;Blancpain__1151-1418-55;69
129;Bell & Ross__BR01-94-BL-CA;68
130;Bell & Ross__BR01-92;68
131;Bell & Ross__BR01-94;68
132;Bell & Ross__BRG126-WH-ST/SCR;68
133;Bell & Ross__BR07-92;68
134;Rado__R12829163;66
135;Rado__R13578862;66
136;Rado__R20757752;66
137;Rado__R13.337.72.1;66
138;Ebel__9157428;64
139;Ebel__8057902;64
140;Ebel__884960;64
141;Montblanc__111874;63
142;Montblanc__107070;63
143;Montblanc__111012;63
144;Girard Perregaux__4946;63
145;Girard Perregaux__49960-19-631-FK6A;63
146;Montblanc__29015;63
147;Montblanc__8466;63
148;Montblanc__113705;63
149;Montblanc__109136;63
