;brand_with_ref_no;count
0;Rolex__16013;4070
1;Rolex__16610;2035
2;Rolex__115210;2035
3;Rolex__16030;2035
4;Rolex__116264 Turn-O-Graph RTOG-W1699D8;2035
5;Breitling__A23322;1054
6;Breitling__A21330;692
7;Omega__231.10.44.52.06.001;656
8;Omega__2,15334E+13;656
9;Omega__232.30.46.21.01.003;656
10;Omega__231.10.42.21.01.001;656
11;Omega__231.10.42.21.01.002;656
12;Omega__3851.50.11;656
13;Omega__2232.30.00;656
14;Omega__231.13.44.50.06.001;656
15;Omega__145.022;656
16;Omega__2210.51.00;656
17;Omega__311.30.42.30.01.005;656
18;IWC__IW371445;610
19;Breitling__A17390;527
20;Breitling__A13019;527
21;Breitling__A1337111;527
22;Breitling__AB0510;527
23;Breitling__A13341;527
24;Breitling__A24322;527
25;Breitling__AB012012/BB01/436X;527
26;Breitling__C13356;527
27;Breitling__A13363;527
28;Cartier__WSNM0006;445
29;Cartier__2303;445
30;Cartier__1228;445
31;Cartier__W20038R3;445
32;Breitling__C13341;412
33;Patek Philippe__4226;316
34;IWC__371918;305
35;TAG Heuer__CR2080.FC6375;302
36;TAG Heuer__CAW2111;302
37;TAG Heuer__CV2A80.FC6256;302
38;TAG Heuer__CAT2016.BA0959;302
39;TAG Heuer__CAW2111.FC6183;302
40;TAG Heuer__CAM2111.FC6259;302
41;TAG Heuer__CAG7010.BA0254;302
42;TAG Heuer__RKZ6782;302
43;Hublot__139.10.6;298
44;Hublot__1106812;298
45;Hublot__1393.3.014;298
46;Audemars Piguet__6009. SA.O.424 27-2;262
47;Audemars Piguet__10667;262
48;Panerai__PAM 005;256
49;Panerai__BB 1644543;256
50;Panerai__PAM 00088;256
51;Panerai__PAM 024;256
52;Jaeger-LeCoultre__234.8.47;229
53;Jaeger-LeCoultre__1013883;229
54;Jaeger-LeCoultre__501;229
55;Maurice Lacroix__MP7218-SS001-110;228
56;Maurice Lacroix__MP7268-SS001-310;228
57;Longines__Condition: Pre-Owned Box and papers: No Reference: Movement: Quartz Functions: Case: 18k White Gold, factory diamond bezel. 38.4mm exclude crown X 4.9mm thin Dial: Matt gray with black stick markers Indications: Strap: Black Calf Leather , Longines Stainless steel buckle . Retail price: $ USD. FeelGoodWatches.com is not an authorized dealer for the brands offered, and we cannot advertise the watches we sell as new. The watches we sell are used, but some of them are unworn. There is no manufacturer‰Ûªs warranty on this watch. We trust these timepieces to be of such high caliber that we warrant all watches we sell for a period of 1 year.;206
58;Longines__L31046266;206
59;Longines__L2.713.4.13.0;206
60;Tudor__79230DK;198
61;Chopard__168959-3002;165
62;Chopard__348168-4001;165
63;Chopard__27/8349-23;165
64;Chopard__378209-3003;165
65;Chopard__388531-3003;165
66;Chopard__288447;165
67;Zenith__18.2020.3001/01.C498;161
68;Zenith__03.2040.400/04.C496;161
69;Zenith__03.0510.4100/22.C492.GB;161
70;Zenith__03.1260.4021/73.m1260;161
71;Zenith__03.2017.681/27.C493;161
72;Zenith__03052068301c492;161
73;Zenith__03.0520.4021/75.C491;161
74;Zenith__02.0240.410/02.M241;161
75;Zenith__03.2040.400/21.c496;161
76;Zenith__03.0510.4100;161
